Code,Region,Name,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJN,NHS England North West ,East Cheshire NHS Trust,4490,0,69,4559,2176,0,69,2245,2314,0,0,2314,49.2,48.5,0.0,100.0,789,0,0,789,170,959,441,278
RXR,NHS England North West ,East Lancashire Hospitals NHS Trust,13049,0,10635,23684,8851,0,10196,19047,4198,0,439,4637,80.4,67.8,0.0,95.9,3755,0,85,3840,1652,5492,1457,814
RXN,NHS England North West ,Lancashire Teaching Hospitals NHS Foundation Trust,11939,0,3610,15549,7560,0,3414,10974,4379,0,196,4575,70.6,63.3,0.0,94.6,2649,0,87,2736,1264,4000,1383,435
RBQ,NHS England North West ,Liverpool Heart And Chest Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,130,130,0,0
REM,NHS England North West ,Liverpool University Hospitals NHS Foundation Trust,16174,1701,7763,25638,8006,1596,7590,17192,8168,105,173,8446,67.1,49.5,93.8,97.8,4601,0,0,4601,2294,6895,2617,818
REP,NHS England North West ,Liverpool Women's NHS Foundation Trust,0,1535,0,1535,0,1367,0,1367,0,168,0,168,89.1,0.0,89.1,0.0,0,116,0,116,11,127,0,0
R0A,NHS England North West ,Manchester University NHS Foundation Trust,27701,3431,12542,43674,15718,3276,11805,30799,11983,155,737,12875,70.5,56.7,95.5,94.1,5679,101,151,5931,402,6333,3698,101
RBN,NHS England North West ,Mersey And West Lancashire Teaching Hospitals NHS Trust,17169,0,7163,24332,11135,0,7023,18158,6034,0,140,6174,74.6,64.9,0.0,98.0,7715,0,0,7715,661,8376,839,349
RW4,NHS England North West ,Mersey Care NHS Foundation Trust,0,0,13070,13070,0,0,12876,12876,0,0,194,194,98.5,0.0,0.0,98.5,0,0,0,0,58,58,0,0
RBT,NHS England North West ,Mid Cheshire Hospitals NHS Foundation Trust,6945,0,3009,9954,2871,0,2950,5821,4074,0,59,4133,58.5,41.3,0.0,98.0,2047,0,0,2047,1286,3333,1086,492
Y02532,NHS England North West ,Miriam Minor Emergency,0,0,1583,1583,0,0,1583,1583,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RM3,NHS England North West ,Northern Care Alliance NHS Foundation Trust,25192,0,8446,33638,14807,0,8043,22850,10385,0,403,10788,67.9,58.8,0.0,95.2,6949,0,315,7264,2182,9446,2235,1222
NV693,NHS England North West ,Rossendale Miu & Ooh,0,0,1108,1108,0,0,1108,1108,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
NQT5F,NHS England North West ,Skelmersdale Walk In Centre,0,0,1730,1730,0,0,1724,1724,0,0,6,6,99.7,0.0,0.0,99.7,0,0,0,0,0,0,0,0
RWJ,NHS England North West ,Stockport NHS Foundation Trust,7836,0,2300,10136,4689,0,2236,6925,3147,0,64,3211,68.3,59.8,0.0,97.2,2477,0,64,2541,746,3287,1009,364
RMP,NHS England North West ,Tameside And Glossop Integrated Care NHS Foundation Trust,8910,0,2964,11874,4913,0,2947,7860,3997,0,17,4014,66.2,55.1,0.0,99.4,1553,0,0,1553,245,1798,942,368
RBV,NHS England North West ,The Christie NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,763,763,0,0
RET,NHS England North West ,The Walton Centre NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,165,165,0,0
RTX,NHS England North West ,University Hospitals Of Morecambe Bay NHS Foundation Trust,9181,0,4421,13602,5782,0,4339,10121,3399,0,82,3481,74.4,63.0,0.0,98.1,3036,0,18,3054,958,4012,1101,443
RWW,NHS England North West ,Warrington And Halton Teaching Hospitals NHS Foundation Trust,7197,0,3350,10547,3565,0,3264,6829,3632,0,86,3718,64.7,49.5,0.0,97.4,1798,0,0,1798,119,1917,1425,663
RY7,NHS England North West ,Wirral Community Health And Care NHS Foundation Trust,0,0,4134,4134,0,0,3869,3869,0,0,265,265,93.6,0.0,0.0,93.6,0,0,0,0,0,0,0,0
RBL,NHS England North West ,Wirral University Teaching Hospital NHS Foundation Trust,7388,0,3157,10545,3630,0,3024,6654,3758,0,133,3891,63.1,49.1,0.0,95.8,2189,0,0,2189,1636,3825,1252,783
RRF,NHS England North West ,"Wrightington, Wigan And Leigh NHS Foundation Trust",6430,0,5708,12138,3036,0,5633,8669,3394,0,75,3469,71.4,47.2,0.0,98.7,2121,0,0,2121,568,2689,1539,444
RTK,NHS England South East ,Ashford And St Peter's Hospitals NHS Foundation Trust,6744,0,8207,14951,3104,0,8058,11162,3640,0,149,3789,74.7,46.0,0.0,98.2,2772,0,0,2772,606,3378,731,183
NTV0B,NHS England South East ,Ashford Walk0In0Centre,0,0,2333,2333,0,0,2284,2284,0,0,49,49,97.9,0.0,0.0,97.9,0,0,0,0,0,0,0,0
RWX,NHS England South East ,Berkshire Healthcare NHS Foundation Trust,0,0,1472,1472,0,0,1462,1462,0,0,10,10,99.3,0.0,0.0,99.3,0,0,32,32,0,32,0,0
Y02676,NHS England South East ,Brighton Station Health Centre,0,0,2001,2001,0,0,2001,2001,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RXQ,NHS England South East ,Buckinghamshire Healthcare NHS Trust,10175,1161,3428,14764,7205,1161,3364,11730,2970,0,64,3034,79.5,70.8,100.0,98.1,3902,852,0,4754,2161,6915,457,212
RN7,NHS England South East ,Dartford And Gravesham NHS Trust,11082,0,4063,15145,7171,0,4041,11212,3911,0,22,3933,74.0,64.7,0.0,99.5,3080,0,0,3080,417,3497,983,525
Y00751,NHS England South East ,East Berks Primary Care Ooh(Wam),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
RVV,NHS England South East ,East Kent Hospitals University NHS Foundation Trust,12301,0,12385,24686,6661,0,12142,18803,5640,0,243,5883,76.2,54.2,0.0,98.0,2847,0,593,3440,501,3941,1705,1256
RXC,NHS England South East ,East Sussex Healthcare NHS Trust,9791,0,4548,14339,6636,0,4482,11118,3155,0,66,3221,77.5,67.8,0.0,98.5,3074,0,0,3074,499,3573,198,7
NDJ,NHS England South East ,First Community Health And Care Cic,0,0,2350,2350,0,0,2350,2350,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RDU,NHS England South East ,Frimley Health NHS Foundation Trust,21751,900,11461,34112,12098,900,11161,24159,9653,0,300,9953,70.8,55.6,100.0,97.4,6093,0,0,6093,154,6247,1692,129
RW1,NHS England South East ,Hampshire And Isle Of Wight Healthcare NHS Foundation Trust,0,0,2866,2866,0,0,2796,2796,0,0,70,70,97.6,0.0,0.0,97.6,0,0,3,3,167,170,0,0
RN5,NHS England South East ,Hampshire Hospitals NHS Foundation Trust,10837,95,3407,14339,5940,95,3304,9339,4897,0,103,5000,65.1,54.8,100.0,97.0,3993,8,49,4050,1282,5332,315,54
R1F,NHS England South East ,Isle Of Wight NHS Trust,4301,312,1573,6186,2452,312,1573,4337,1849,0,0,1849,70.1,57.0,100.0,100.0,1349,0,0,1349,100,1449,449,132
RYY,NHS England South East ,Kent Community Health NHS Foundation Trust,0,0,9195,9195,0,0,9164,9164,0,0,31,31,99.7,0.0,0.0,99.7,0,0,0,0,0,0,0,0
RWF,NHS England South East ,Maidstone And Tunbridge Wells NHS Trust,18801,0,2524,21325,14982,0,2509,17491,3819,0,15,3834,82.0,79.7,0.0,99.4,4861,0,0,4861,1007,5868,1111,185
RPA,NHS England South East ,Medway NHS Foundation Trust,9256,0,7741,16997,6198,0,7048,13246,3058,0,693,3751,77.9,67.0,0.0,91.0,1884,0,0,1884,458,2342,831,412
RNU,NHS England South East ,Oxford Health NHS Foundation Trust,0,0,4227,4227,0,0,3935,3935,0,0,292,292,93.1,0.0,0.0,93.1,0,0,0,0,0,0,0,0
RTH,NHS England South East ,Oxford University Hospitals NHS Foundation Trust,13925,1834,3531,19290,9203,1834,3529,14566,4722,0,2,4724,75.5,66.1,100.0,99.9,4719,123,15,4857,4345,9202,650,0
AQN04,NHS England South East ,Phl Lymington Utc,0,0,3309,3309,0,0,3267,3267,0,0,42,42,98.7,0.0,0.0,98.7,0,0,0,0,0,0,0,0
RHU,NHS England South East ,Portsmouth Hospitals University NHS Trust,11527,886,3922,16335,6823,872,3741,11436,4704,14,181,4899,70.0,59.2,98.4,95.4,2958,0,0,2958,2668,5626,1512,503
NTP11,NHS England South East ,Practice Plus Group Hospital 0 Southampton,0,0,5503,5503,0,0,5449,5449,0,0,54,54,99.0,0.0,0.0,99.0,0,0,0,0,0,0,0,0
NTPAD,NHS England South East ,Practice Plus Group Surgical Centre 0 St Marys Portsmouth,0,0,5431,5431,0,0,5223,5223,0,0,208,208,96.2,0.0,0.0,96.2,0,0,0,0,0,0,0,0
RPC,NHS England South East ,Queen Victoria Hospital NHS Foundation Trust,0,0,1450,1450,0,0,1435,1435,0,0,15,15,99.0,0.0,0.0,99.0,0,0,3,3,552,555,0,0
Y07709,NHS England South East ,Reading Urgent Care Centre,0,0,2244,2244,0,0,2244,2244,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RHW,NHS England South East ,Royal Berkshire NHS Foundation Trust,11515,2481,2087,16083,6928,2448,2087,11463,4587,33,0,4620,71.3,60.2,98.7,100.0,2214,1,0,2215,460,2675,697,25
RA2,NHS England South East ,Royal Surrey County Hospital NHS Foundation Trust,7397,0,1559,8956,5209,0,1559,6768,2188,0,0,2188,75.6,70.4,0.0,100.0,2469,0,0,2469,1045,3514,262,1
NQT51,NHS England South East ,Station Plaza Health Centre,0,0,1209,1209,0,0,1209,1209,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RTP,NHS England South East ,Surrey And Sussex Healthcare NHS Trust,10067,0,0,10067,6284,0,0,6284,3783,0,0,3783,62.4,62.4,0.0,0.0,3107,0,0,3107,751,3858,1116,609
RDR,NHS England South East ,Sussex Community NHS Foundation Trust,0,0,11779,11779,0,0,11647,11647,0,0,132,132,98.9,0.0,0.0,98.9,0,0,0,0,0,0,0,0
RHM,NHS England South East ,University Hospital Southampton NHS Foundation Trust,11589,1309,0,12898,7035,1172,0,8207,4554,137,0,4691,63.6,60.7,89.5,0.0,3745,13,0,3758,1578,5336,638,10
RYR,NHS England South East ,University Hospitals Sussex NHS Foundation Trust,27327,1459,2670,31456,17487,1428,2399,21314,9840,31,271,10142,67.8,64.0,97.9,89.9,8483,41,78,8602,1522,10124,1555,723
ACH01,NHS England South East ,Whitstable Medical Practice,0,0,4951,4951,0,0,4951,4951,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
NTV0W,NHS England South East ,Woking Walk In Centre,0,0,2528,2528,0,0,2470,2470,0,0,58,58,97.7,0.0,0.0,97.7,0,0,0,0,0,0,0,0
RJ8,NHS England South West ,Cornwall Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,5,79,84,0,0
RBD,NHS England South West ,Dorset County Hospital NHS Foundation Trust,4766,0,4383,9149,3132,0,4370,7502,1634,0,13,1647,82.0,65.7,0.0,99.7,2001,0,0,2001,497,2498,226,25
RDY,NHS England South West ,Dorset Healthcare University NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,4,5,0,0
RTQ,NHS England South West ,Gloucestershire Health And Care NHS Foundation Trust,0,0,8409,8409,0,0,8239,8239,0,0,170,170,98.0,0.0,0.0,98.0,0,0,0,0,26,26,0,0
RTE,NHS England South West ,Gloucestershire Hospitals NHS Foundation Trust,13358,0,0,13358,8122,0,0,8122,5236,0,0,5236,60.8,60.8,0.0,0.0,2888,0,0,2888,2374,5262,873,461
RN3,NHS England South West ,Great Western Hospitals NHS Foundation Trust,5552,0,5481,11033,2641,0,5038,7679,2911,0,443,3354,69.6,47.6,0.0,91.9,2340,0,0,2340,1317,3657,882,342
RVJ,NHS England South West ,North Bristol NHS Trust,8875,0,0,8875,5379,0,0,5379,3496,0,0,3496,60.6,60.6,0.0,0.0,2589,0,0,2589,2153,4742,905,299
L83087,NHS England South West ,Okehampton Medical Centre,0,0,77,77,0,0,77,77,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
NQT5H,NHS England South West ,Paulton Memorial Hospital,0,0,913,913,0,0,908,908,0,0,5,5,99.5,0.0,0.0,99.5,0,0,0,0,0,0,0,0
REF,NHS England South West ,Royal Cornwall Hospitals NHS Trust,6767,0,12428,19195,3352,0,11861,15213,3415,0,567,3982,79.3,49.5,0.0,95.4,2573,0,43,2616,1090,3706,1234,457
RH8,NHS England South West ,Royal Devon University Healthcare NHS Foundation Trust,13482,0,4162,17644,8091,0,4156,12247,5391,0,6,5397,69.4,60.0,0.0,99.9,3610,0,0,3610,1827,5437,1146,214
RD1,NHS England South West ,Royal United Hospitals Bath NHS Foundation Trust,8660,0,0,8660,5038,0,0,5038,3622,0,0,3622,58.2,58.2,0.0,0.0,2565,0,14,2579,1775,4354,898,120
RNZ,NHS England South West ,Salisbury NHS Foundation Trust,4894,298,1878,7070,2715,298,1878,4891,2179,0,0,2179,69.2,55.5,100.0,100.0,1263,0,0,1263,1014,2277,534,57
NLX,NHS England South West ,Sirona Care & Health,0,0,9107,9107,0,0,8734,8734,0,0,373,373,95.9,0.0,0.0,95.9,0,0,0,0,0,0,0,0
RH5,NHS England South West ,Somerset NHS Foundation Trust,12443,0,9709,22152,6333,0,9463,15796,6110,0,246,6356,71.3,50.9,0.0,97.5,3041,0,0,3041,1792,4833,851,175
RYF,NHS England South West ,South Western Ambulance Service NHS Foundation Trust,0,0,1905,1905,0,0,1879,1879,0,0,26,26,98.6,0.0,0.0,98.6,0,0,0,0,0,0,0,0
AAH,NHS England South West ,Tetbury Hospital Trust Ltd,0,0,536,536,0,0,536,536,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RA9,NHS England South West ,Torbay And South Devon NHS Foundation Trust,6784,0,3424,10208,4011,0,3408,7419,2773,0,16,2789,72.7,59.1,0.0,99.5,2284,0,0,2284,1130,3414,225,23
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14960,2424,0,17384,9583,2202,0,11785,5377,222,0,5599,67.8,64.1,90.8,0.0,4948,11,0,4959,1467,6426,1593,486
R0D,NHS England South West ,University Hospitals Dorset NHS Foundation Trust,13652,0,5432,19084,8049,0,5432,13481,5603,0,0,5603,70.6,59.0,0.0,100.0,4326,1,0,4327,2373,6700,1087,185
RK9,NHS England South West ,University Hospitals Plymouth NHS Trust,9037,155,5353,14545,4342,155,5254,9751,4695,0,99,4794,67.0,48.0,100.0,98.2,2792,0,0,2792,1510,4302,1089,583
