Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,559",0,"6,955","17,514","6,779",0,"6,763","13,542","3,780",0,192,"3,972",77.30%,64.20%,-,97.20%,"2,136",0,0,"2,136",221,"2,357",223,94
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,792","2,792",0,0,"2,786","2,786",0,0,6,6,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,547",0,0,"11,547","9,196",0,0,"9,196","2,351",0,0,"2,351",79.60%,79.60%,-,-,"1,956",0,0,"1,956",360,"2,316",289,20
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,719","3,990","8,045","24,754","7,344","3,842","7,629","18,815","5,375",148,416,"5,939",76.00%,57.70%,96.30%,94.80%,"3,639",1,0,"3,640","1,158","4,798",575,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"16,336",0,"9,181","25,517","9,383",0,"8,823","18,206","6,953",0,358,"7,311",71.30%,57.40%,-,96.10%,"3,720",0,0,"3,720",324,"4,044","2,105",593
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,042",0,"8,553","15,595","3,175",0,"8,188","11,363","3,867",0,365,"4,232",72.90%,45.10%,-,95.70%,"2,306",0,375,"2,681",703,"3,384",797,579
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"16,150",0,"17,568","33,718","8,490",0,"17,182","25,672","7,660",0,386,"8,046",76.10%,52.60%,-,97.80%,"4,437",0,0,"4,437",555,"4,992","1,905",652
R1K,NHS England London,London North West University Healthcare NHS Trust,"14,426",0,"16,111","30,537","7,337",0,"14,820","22,157","7,089",0,"1,291","8,380",72.60%,50.90%,-,92.00%,"6,593",0,0,"6,593",303,"6,896","1,123",446
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"6,051",0,"6,051",0,"5,855",0,"5,855",0,196,0,196,96.80%,-,96.80%,-,0,1,0,1,236,237,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,899","1,899",0,0,"1,863","1,863",0,0,36,36,98.10%,-,-,98.10%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"27,527",602,"16,060","44,189","18,348",596,"15,344","34,288","9,179",6,716,"9,901",77.60%,66.70%,99.00%,95.50%,"6,588",0,108,"6,696",762,"7,458","3,008","2,109"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,24,24,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,419",0,"3,900","13,319","6,730",0,"3,794","10,524","2,689",0,106,"2,795",79.00%,71.50%,-,97.30%,"2,750",0,0,"2,750",794,"3,544","1,059",651
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,359",0,"6,831","12,190","2,588",0,"6,773","9,361","2,771",0,58,"2,829",76.80%,48.30%,-,99.20%,"1,760",0,0,"1,760",69,"1,829",558,42
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,"1,094","1,094",0,0,"1,094","1,094",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"14,572",0,0,"14,572","10,621",0,0,"10,621","3,951",0,0,"3,951",72.90%,72.90%,-,-,"1,502",0,0,"1,502",272,"1,774",668,219
RKE,NHS England London,Whittington Health NHS Trust,"9,130",0,0,"9,130","6,377",0,0,"6,377","2,753",0,0,"2,753",69.80%,69.80%,-,-,"1,412",0,0,"1,412",30,"1,442",544,296
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,565","3,565",0,0,"3,565","3,565",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"1,891","1,891",0,0,"1,891","1,891",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"5,419",0,0,"5,419","4,354",0,0,"4,354","1,065",0,0,"1,065",80.30%,80.30%,-,-,644,0,0,644,217,861,12,2
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"6,423",0,"5,714","12,137","2,953",0,"5,412","8,365","3,470",0,302,"3,772",68.90%,46.00%,-,94.70%,"2,055",0,59,"2,114",224,"2,338","1,239",276
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,14,14,76,90,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"9,074","9,074",0,0,"8,755","8,755",0,0,319,319,96.50%,-,-,96.50%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,869","1,869",0,0,"1,867","1,867",0,0,2,2,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"2,135","2,135",0,0,"2,135","2,135",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"7,354",0,"1,640","8,994","5,436",0,"1,635","7,071","1,918",0,5,"1,923",78.60%,73.90%,-,99.70%,"1,135",0,0,"1,135",0,"1,135",814,560
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,669",0,"8,329","18,998","6,771",0,"8,219","14,990","3,898",0,110,"4,008",78.90%,63.50%,-,98.70%,"1,922",0,0,"1,922",322,"2,244","1,254",695
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,362,362,0,0,362,362,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"8,124","8,124",0,0,"8,003","8,003",0,0,121,121,98.50%,-,-,98.50%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"3,962","3,962",0,0,"3,953","3,953",0,0,9,9,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,470,470,0,0,470,470,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,412,412,0,0,412,412,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,412,412,0,0,412,412,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,636",969,"1,921","13,526","6,112",845,"1,872","8,829","4,524",124,49,"4,697",65.30%,57.50%,87.20%,97.40%,"2,136",0,0,"2,136",444,"2,580","1,335",764
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"12,936","2,278","10,149","25,363","5,729","2,053","7,835","15,617","7,207",225,"2,314","9,746",61.60%,44.30%,90.10%,77.20%,"3,269",0,923,"4,192","4,781","8,973","1,054",859
NNJ14,NHS England Midlands ,Oadby,0,0,"2,723","2,723",0,0,"2,723","2,723",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,399,399,0,0,399,399,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"12,316","1,197","9,016","22,529","6,656",965,"8,902","16,523","5,660",232,114,"6,006",73.30%,54.00%,80.60%,98.70%,"2,799",0,0,"2,799",94,"2,893","1,148",380
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,540",0,"5,859","17,399","6,316",0,"5,410","11,726","5,224",0,449,"5,673",67.40%,54.70%,-,92.30%,"3,914",0,1,"3,915",295,"4,210","1,523",606
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,152","3,152",0,0,"3,128","3,128",0,0,24,24,99.20%,-,-,99.20%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,501,501,0,0,501,501,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,2,2,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"6,420","6,420",0,0,"6,420","6,420",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,937",0,422,"9,359","6,353",0,422,"6,775","2,584",0,0,"2,584",72.40%,71.10%,-,100.00%,"2,117",0,0,"2,117",635,"2,752",692,53
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"3,324","3,324",0,0,"3,324","3,324",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"10,233",0,"4,861","15,094","7,030",0,"4,774","11,804","3,203",0,87,"3,290",78.20%,68.70%,-,98.20%,"3,743",0,0,"3,743","2,694","6,437","2,741",141
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,36,36,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"11,808","1,691","7,509","21,008","7,273","1,438","7,308","16,019","4,535",253,201,"4,989",76.30%,61.60%,85.00%,97.30%,"2,563",0,284,"2,847",793,"3,640","1,375",581
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,982",0,"2,637","13,619","5,089",0,"2,297","7,386","5,893",0,340,"6,233",54.20%,46.30%,-,87.10%,"3,440",0,215,"3,655","2,028","5,683","2,047","1,618"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"17,436",0,"4,099","21,535","10,464",0,"3,725","14,189","6,972",0,374,"7,346",65.90%,60.00%,-,90.90%,"5,160",0,0,"5,160","1,069","6,229","2,161","1,196"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"36,434",370,"3,574","40,378","22,096",370,"3,524","25,990","14,338",0,50,"14,388",64.40%,60.60%,100.00%,98.60%,"11,156",0,0,"11,156","7,879","19,035","4,472","2,030"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,851","2,242","5,876","20,969","7,437","2,134","5,771","15,342","5,414",108,105,"5,627",73.20%,57.90%,95.20%,98.20%,"1,231",27,26,"1,284",288,"1,572",95,22
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"22,481",0,"10,024","32,505","12,707",0,"10,020","22,727","9,774",0,4,"9,778",69.90%,56.50%,-,100.00%,"4,017",0,1,"4,018","2,055","6,073","2,169","1,234"
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"23,885","2,156",0,"26,041","14,349","1,963",0,"16,312","9,536",193,0,"9,729",62.60%,60.10%,91.00%,-,"6,777",4,0,"6,781","4,101","10,882","2,026",844
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"16,170",500,"9,852","26,522","7,456",500,"9,498","17,454","8,714",0,354,"9,068",65.80%,46.10%,100.00%,96.40%,"4,735",0,0,"4,735","1,137","5,872","2,236","1,384"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,988",0,"4,574","14,562","6,386",0,"4,469","10,855","3,602",0,105,"3,707",74.50%,63.90%,-,97.70%,"4,108",0,0,"4,108",904,"5,012","1,224",279
