Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,089",818,"7,093","18,000","6,726",788,"6,890","14,404","3,363",30,203,"3,596",80.00%,66.70%,96.30%,97.10%,"1,956",0,0,"1,956",232,"2,188",176,68
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,715","2,715",0,0,"2,692","2,692",0,0,23,23,99.20%,-,-,99.20%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,079",0,0,"11,079","8,891",0,0,"8,891","2,188",0,0,"2,188",80.30%,80.30%,-,-,"1,794",0,0,"1,794",369,"2,163",208,23
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,099","4,052","8,052","24,203","6,754","3,950","7,699","18,403","5,345",102,353,"5,800",76.00%,55.80%,97.50%,95.60%,"3,740",2,0,"3,742","1,094","4,836",676,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"15,080",0,"10,577","25,657","8,329",0,"10,030","18,359","6,751",0,547,"7,298",71.60%,55.20%,-,94.80%,"3,508",0,0,"3,508",294,"3,802","2,550",931
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"6,808",0,"8,564","15,372","3,578",0,"8,321","11,899","3,230",0,243,"3,473",77.40%,52.60%,-,97.20%,"2,281",0,266,"2,547",640,"3,187",519,221
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"15,546",0,"9,786","25,332","7,851",0,"9,510","17,361","7,695",0,276,"7,971",68.50%,50.50%,-,97.20%,"3,967",0,0,"3,967",524,"4,491","1,963",712
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,432",0,"15,614","29,046","7,310",0,"15,401","22,711","6,122",0,213,"6,335",78.20%,54.40%,-,98.60%,"6,484",0,0,"6,484",318,"6,802",647,196
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"6,116",0,"6,116",0,"5,873",0,"5,873",0,243,0,243,96.00%,-,96.00%,-,0,1,0,1,245,246,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,728","1,728",0,0,"1,668","1,668",0,0,60,60,96.50%,-,-,96.50%,0,0,0,0,0,0,0,0
