Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,064",719,"7,309","18,092","6,581",667,"7,062","14,310","3,483",52,247,"3,782",79.10%,65.40%,92.80%,96.60%,"2,074",0,0,"2,074",188,"2,262",172,69
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,625","2,625",0,0,"2,607","2,607",0,0,18,18,99.30%,-,-,99.30%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,355",0,0,"11,355","9,372",0,0,"9,372","1,983",0,0,"1,983",82.50%,82.50%,-,-,"1,764",0,0,"1,764",313,"2,077",228,26
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,279","4,092","7,969","24,340","6,828","4,018","7,526","18,372","5,451",74,443,"5,968",75.50%,55.60%,98.20%,94.40%,"3,806",0,0,"3,806","1,154","4,960","1,115",366
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"15,476",0,"10,626","26,102","8,945",0,"10,265","19,210","6,531",0,361,"6,892",73.60%,57.80%,-,96.60%,"3,668",0,0,"3,668",346,"4,014","2,287",833
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"6,888",0,"8,681","15,569","3,592",0,"8,462","12,054","3,296",0,219,"3,515",77.40%,52.10%,-,97.50%,"2,331",0,225,"2,556",650,"3,206",567,261
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"15,988",0,"9,699","25,687","7,964",0,"9,441","17,405","8,024",0,258,"8,282",67.80%,49.80%,-,97.30%,"4,331",0,0,"4,331",614,"4,945","2,031",726
R1K,NHS England London,London North West University Healthcare NHS Trust,"14,049",0,"15,575","29,624","7,000",0,"15,433","22,433","7,049",0,142,"7,191",75.70%,49.80%,-,99.10%,"6,445",0,0,"6,445",212,"6,657","1,053",403
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"6,040",0,"6,040",0,"5,929",0,"5,929",0,111,0,111,98.20%,-,98.20%,-,0,1,0,1,276,277,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"2,020","2,020",0,0,"1,940","1,940",0,0,80,80,96.00%,-,-,96.00%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"26,102",565,"16,837","43,504","16,779",561,"16,037","33,377","9,323",4,800,"10,127",76.70%,64.30%,99.30%,95.20%,"5,344",1,69,"5,414",758,"6,172","2,840","1,606"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,1,2,3,31,34,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,334",0,"3,900","13,234","6,473",0,"3,900","10,373","2,861",0,0,"2,861",78.40%,69.30%,-,100.00%,"2,732",0,0,"2,732",802,"3,534","1,333",836
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"6,146",0,"7,001","13,147","3,200",0,"6,927","10,127","2,946",0,74,"3,020",77.00%,52.10%,-,98.90%,"2,043",0,0,"2,043",56,"2,099",540,58
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,852,852,0,0,852,852,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"14,158",0,0,"14,158","9,918",0,0,"9,918","4,240",0,0,"4,240",70.10%,70.10%,-,-,"1,432",0,0,"1,432",270,"1,702",539,141
Y02147,NHS England London,Urgent Care Centre (Qms),0,0,"8,479","8,479",0,0,"8,354","8,354",0,0,125,125,98.50%,-,-,98.50%,0,0,0,0,0,0,0,0
RKE,NHS England London,Whittington Health NHS Trust,"9,198",0,0,"9,198","6,583",0,0,"6,583","2,615",0,0,"2,615",71.60%,71.60%,-,-,"1,353",0,0,"1,353",54,"1,407",423,167
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,179","3,179",0,0,"3,179","3,179",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"1,444","1,444",0,0,"1,444","1,444",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"5,061",0,0,"5,061","3,988",0,0,"3,988","1,073",0,0,"1,073",78.80%,78.80%,-,-,719,0,0,719,349,"1,068",8,5
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,470",0,"6,480","13,950","4,009",0,"6,135","10,144","3,461",0,345,"3,806",72.70%,53.70%,-,94.70%,"2,296",0,176,"2,472",331,"2,803",973,95
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,4,4,83,87,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"10,029","10,029",0,0,"9,854","9,854",0,0,175,175,98.30%,-,-,98.30%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"2,031","2,031",0,0,"2,031","2,031",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"2,082","2,082",0,0,"2,082","2,082",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"7,048",0,"1,704","8,752","4,282",0,"1,658","5,940","2,766",0,46,"2,812",67.90%,60.80%,-,97.30%,"1,113",0,0,"1,113",0,"1,113",710,284
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,352",0,"8,406","18,758","6,620",0,"8,273","14,893","3,732",0,133,"3,865",79.40%,63.90%,-,98.40%,"2,031",0,0,"2,031",261,"2,292","1,427",788
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,354,354,0,0,354,354,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"8,967","8,967",0,0,"8,753","8,753",0,0,214,214,97.60%,-,-,97.60%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,475","2,475",0,0,"2,475","2,475",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"8,099","8,099",0,0,"8,073","8,073",0,0,26,26,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,599,599,0,0,599,599,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,507,507,0,0,507,507,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
A5D4Q,NHS England Midlands ,Nems Utc,0,0,"3,404","3,404",0,0,"2,628","2,628",0,0,776,776,77.20%,-,-,77.20%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,430",541,"2,171","13,142","6,117",518,"2,088","8,723","4,313",23,83,"4,419",66.40%,58.60%,95.70%,96.20%,"2,353",0,0,"2,353",888,"3,241","1,368",622
NR3,NHS England Midlands ,Nottingham Citycare Partnership,0,0,"5,654","5,654",0,0,"5,343","5,343",0,0,311,311,94.50%,-,-,94.50%,0,0,0,0,0,0,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"13,644","2,131",0,"15,775","6,831","2,051",0,"8,882","6,813",80,0,"6,893",56.30%,50.10%,96.20%,-,"4,186",0,715,"4,901","4,283","9,184",771,460
NNJ14,NHS England Midlands ,Oadby,0,0,"2,897","2,897",0,0,"2,897","2,897",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,496,496,0,0,496,496,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,701","1,283","8,458","21,442","7,392","1,056","8,282","16,730","4,309",227,176,"4,712",78.00%,63.20%,82.30%,97.90%,"2,680",0,0,"2,680",532,"3,212",847,145
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,404",0,"6,023","17,427","7,906",0,"5,855","13,761","3,498",0,168,"3,666",79.00%,69.30%,-,97.20%,"3,657",0,0,"3,657",241,"3,898",515,73
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,433","3,433",0,0,"3,374","3,374",0,0,59,59,98.30%,-,-,98.30%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,537,537,0,0,537,537,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,2,2,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"6,661","6,661",0,0,"6,661","6,661",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,580",0,404,"8,984","5,991",0,404,"6,395","2,589",0,0,"2,589",71.20%,69.80%,-,100.00%,"2,276",0,0,"2,276",866,"3,142",450,76
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"3,089","3,089",0,0,"3,089","3,089",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"10,164",0,"4,715","14,879","7,121",0,"4,650","11,771","3,043",0,65,"3,108",79.10%,70.10%,-,98.60%,"3,450",0,0,"3,450","2,858","6,308","2,032",144
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,38,38,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"13,012",0,"8,586","21,598","9,419",0,"8,189","17,608","3,593",0,397,"3,990",81.50%,72.40%,-,95.40%,"5,887",0,0,"5,887",836,"6,723","1,395",383
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"11,139",0,"2,719","13,858","4,707",0,"2,152","6,859","6,432",0,567,"6,999",49.50%,42.30%,-,79.10%,"3,189",0,156,"3,345","1,997","5,342","1,867","1,379"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"17,298",0,"3,864","21,162","10,443",0,"3,514","13,957","6,855",0,350,"7,205",66.00%,60.40%,-,90.90%,"4,758",0,0,"4,758","1,106","5,864","2,017",942
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"35,801",294,"2,174","38,269","20,844",294,"2,029","23,167","14,957",0,145,"15,102",60.50%,58.20%,100.00%,93.30%,"10,220",0,0,"10,220","7,048","17,268","4,583","1,863"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,377","1,391","6,215","19,983","7,209","1,302","6,031","14,542","5,168",89,184,"5,441",72.80%,58.20%,93.60%,97.00%,"1,568",45,34,"1,647",351,"1,998",121,31
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"22,702",0,"9,813","32,515","13,647",0,"9,810","23,457","9,055",0,3,"9,058",72.10%,60.10%,-,100.00%,"4,266",0,2,"4,268","1,873","6,141","1,973",850
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"22,382","1,978",0,"24,360","13,166","1,819",0,"14,985","9,216",159,0,"9,375",61.50%,58.80%,92.00%,-,"6,579",3,0,"6,582","3,631","10,213","2,044",609
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,226",501,"9,778","25,505","7,661",501,"9,699","17,861","7,565",0,79,"7,644",70.00%,50.30%,100.00%,99.20%,"4,960",0,0,"4,960","1,851","6,811","1,877",857
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,382",0,"4,330","13,712","6,666",0,"4,239","10,905","2,716",0,91,"2,807",79.50%,71.10%,-,97.90%,"3,787",0,0,"3,787",725,"4,512","1,068",105
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,949",0,"6,564","20,513","6,879",0,"6,468","13,347","7,070",0,96,"7,166",65.10%,49.30%,-,98.50%,"2,752",0,0,"2,752",913,"3,665","1,512",819
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,131","1,060",164,"7,355","3,216","1,060",164,"4,440","2,915",0,0,"2,915",60.40%,52.50%,100.00%,100.00%,"1,452",0,0,"1,452",157,"1,609",728,249
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,731",198,0,"6,929","4,531",198,0,"4,729","2,200",0,0,"2,200",68.20%,67.30%,100.00%,-,"1,592",0,0,"1,592",468,"2,060",317,47
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,336",0,0,"9,336","6,717",0,0,"6,717","2,619",0,0,"2,619",71.90%,71.90%,-,-,"3,072",0,0,"3,072",465,"3,537",427,0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,416","1,118","3,475","14,009","6,999","1,118","3,475","11,592","2,417",0,0,"2,417",82.70%,74.30%,100.00%,100.00%,"2,605",0,15,"2,620","1,434","4,054",768,49
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,723","3,723",0,0,"3,147","3,147",0,0,576,576,84.50%,-,-,84.50%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,521","1,521",0,0,"1,458","1,458",0,0,63,63,95.90%,-,-,95.90%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,305",0,0,"16,305","13,737",0,0,"13,737","2,568",0,0,"2,568",84.30%,84.30%,-,-,"2,811",0,0,"2,811",203,"3,014",724,5
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"13,233",0,"11,981","25,214","7,913",0,"11,981","19,894","5,320",0,0,"5,320",78.90%,59.80%,-,100.00%,"4,487",0,0,"4,487",710,"5,197","2,043",13
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"13,955",0,"4,362","18,317","9,237",0,"4,316","13,553","4,718",0,46,"4,764",74.00%,66.20%,-,98.90%,"3,975",0,420,"4,395",997,"5,392","1,213",113
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"3,089","3,089",0,0,"2,901","2,901",0,0,188,188,93.90%,-,-,93.90%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"5,926",0,"4,038","9,964","3,880",0,"3,988","7,868","2,046",0,50,"2,096",79.00%,65.50%,-,98.80%,"1,686",0,0,"1,686",50,"1,736",460,1
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,776","1,776",0,0,"1,756","1,756",0,0,20,20,98.90%,-,-,98.90%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,609",0,"1,120","6,729","4,136",0,"1,120","5,256","1,473",0,0,"1,473",78.10%,73.70%,-,100.00%,"1,107",0,0,"1,107",302,"1,409",185,15
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"9,636",0,"4,518","14,154","4,121",0,"3,833","7,954","5,515",0,685,"6,200",56.20%,42.80%,-,84.80%,"3,684",0,0,"3,684","2,249","5,933","1,502",467
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,209","1,209",0,0,"1,206","1,206",0,0,3,3,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"18,086",689,"12,610","31,385","10,941",689,"12,374","24,004","7,145",0,236,"7,381",76.50%,60.50%,100.00%,98.10%,"3,729",0,0,"3,729","1,139","4,868","1,994",331
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,391","2,391",0,0,"2,382","2,382",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"17,307",127,"6,542","23,976","10,944",127,"6,403","17,474","6,363",0,139,"6,502",72.90%,63.20%,100.00%,97.90%,"3,679",0,171,"3,850",848,"4,698","2,170",175
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"9,528",0,"2,193","11,721","5,643",0,"2,177","7,820","3,885",0,16,"3,901",66.70%,59.20%,-,99.30%,"2,176",0,0,"2,176",748,"2,924","1,083",426
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,893",0,"11,483","16,376","2,563",0,"11,465","14,028","2,330",0,18,"2,348",85.70%,52.40%,-,99.80%,"1,643",0,476,"2,119","2,373","4,492",162,1
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,285",0,"8,030","17,315","4,194",0,"7,940","12,134","5,091",0,90,"5,181",70.10%,45.20%,-,98.90%,"5,481",0,0,"5,481",490,"5,971","1,536",796
