Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,381",0,"6,502","16,883","6,974",0,"6,367","13,341","3,407",0,135,"3,542",79.00%,67.20%,-,97.90%,"2,044",0,0,"2,044",278,"2,322",189,60
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,897","2,897",0,0,"2,871","2,871",0,0,26,26,99.10%,-,-,99.10%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,082",0,0,"11,082","9,034",0,0,"9,034","2,048",0,0,"2,048",81.50%,81.50%,-,-,"1,819",0,0,"1,819",367,"2,186",251,25
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,169","3,255","7,288","22,712","7,111","3,210","6,986","17,307","5,058",45,302,"5,405",76.20%,58.40%,98.60%,95.90%,"3,624",6,0,"3,630","1,112","4,742",621,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"15,769",0,"9,362","25,131","8,990",0,"8,591","17,581","6,779",0,771,"7,550",70.00%,57.00%,-,91.80%,"3,693",0,0,"3,693",374,"4,067","2,037",722
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,217",0,"8,083","15,300","3,253",0,"7,738","10,991","3,964",0,345,"4,309",71.80%,45.10%,-,95.70%,"2,436",0,289,"2,725",640,"3,365",753,498
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"16,397",0,"16,897","33,294","8,629",0,"16,556","25,185","7,768",0,341,"8,109",75.60%,52.60%,-,98.00%,"3,938",0,0,"3,938",544,"4,482","1,762",674
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,918",0,"15,544","29,462","6,746",0,"14,678","21,424","7,172",0,866,"8,038",72.70%,48.50%,-,94.40%,"6,203",0,0,"6,203",287,"6,490","1,322",673
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,192",0,"5,192",0,"5,012",0,"5,012",0,180,0,180,96.50%,-,96.50%,-,0,1,0,1,233,234,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,508","1,508",0,0,"1,492","1,492",0,0,16,16,98.90%,-,-,98.90%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"27,627",426,"15,444","43,497","18,264",425,"14,706","33,395","9,363",1,738,"10,102",76.80%,66.10%,99.80%,95.20%,"6,272",1,110,"6,383",859,"7,242","2,921","1,921"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,10,10,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,205",0,"3,615","12,820","6,881",0,"3,539","10,420","2,324",0,76,"2,400",81.30%,74.80%,-,97.90%,"2,020",0,0,"2,020",571,"2,591",834,457
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,634",0,"6,910","12,544","2,584",0,"6,855","9,439","3,050",0,55,"3,105",75.20%,45.90%,-,99.20%,"1,739",0,0,"1,739",75,"1,814",481,32
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,"1,005","1,005",0,0,"1,005","1,005",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"13,752",0,0,"13,752","10,075",0,0,"10,075","3,677",0,0,"3,677",73.30%,73.30%,-,-,"1,456",0,0,"1,456",276,"1,732",507,128
RKE,NHS England London,Whittington Health NHS Trust,"9,136",0,0,"9,136","6,317",0,0,"6,317","2,819",0,0,"2,819",69.10%,69.10%,-,-,"1,402",0,0,"1,402",27,"1,429",540,258
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,101","3,101",0,0,"3,101","3,101",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"2,140","2,140",0,0,"2,140","2,140",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"5,169",0,0,"5,169","3,685",0,0,"3,685","1,484",0,0,"1,484",71.30%,71.30%,-,-,735,0,0,735,196,931,55,3
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,402",0,"6,529","13,931","3,724",0,"6,488","10,212","3,678",0,41,"3,719",73.30%,50.30%,-,99.40%,"2,089",0,31,"2,120",151,"2,271","1,022",385
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,6,6,73,79,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"8,588","8,588",0,0,"8,200","8,200",0,0,388,388,95.50%,-,-,95.50%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"2,159","2,159",0,0,"2,156","2,156",0,0,3,3,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"2,388","2,388",0,0,"2,388","2,388",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"7,185",0,"1,569","8,754","5,285",0,"1,562","6,847","1,900",0,7,"1,907",78.20%,73.60%,-,99.60%,"1,167",0,0,"1,167",0,"1,167",753,424
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,792",0,"9,038","19,830","6,812",0,"9,007","15,819","3,980",0,31,"4,011",79.80%,63.10%,-,99.70%,"1,936",0,0,"1,936",346,"2,282","1,171",481
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,283,283,0,0,283,283,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"8,220","8,220",0,0,"8,054","8,054",0,0,166,166,98.00%,-,-,98.00%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,741","2,741",0,0,"2,740","2,740",0,0,1,1,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,367","7,367",0,0,"7,339","7,339",0,0,28,28,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,540,540,0,0,540,540,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,306,306,0,0,306,306,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,467,467,0,0,466,466,0,0,1,1,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,580",786,"2,137","13,503","6,234",760,"1,985","8,979","4,346",26,152,"4,524",66.50%,58.90%,96.70%,92.90%,"2,446",0,0,"2,446",556,"3,002","1,258",774
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"12,838","1,958","9,123","23,919","4,912","1,786","7,814","14,512","7,926",172,"1,309","9,407",60.70%,38.30%,91.20%,85.70%,"4,034",0,948,"4,982","4,370","9,352",774,578
NNJ14,NHS England Midlands ,Oadby,0,0,"3,059","3,059",0,0,"3,046","3,046",0,0,13,13,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,451,451,0,0,451,451,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,862","1,036","8,770","21,668","6,304",881,"8,607","15,792","5,558",155,163,"5,876",72.90%,53.10%,85.00%,98.10%,"2,749",0,0,"2,749",63,"2,812","1,458",422
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"10,967",0,"5,692","16,659","6,006",0,"5,158","11,164","4,961",0,534,"5,495",67.00%,54.80%,-,90.60%,"3,691",0,0,"3,691",328,"4,019","1,502",642
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"2,808","2,808",0,0,"2,797","2,797",0,0,11,11,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,489,489,0,0,489,489,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,4,4,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"4,387","4,387",0,0,"4,387","4,387",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,106",0,346,"8,452","6,091",0,346,"6,437","2,015",0,0,"2,015",76.20%,75.10%,-,100.00%,"1,896",0,0,"1,896",560,"2,456",445,49
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"3,033","3,033",0,0,"3,033","3,033",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"9,815",0,"4,978","14,793","5,747",0,"4,760","10,507","4,068",0,218,"4,286",71.00%,58.60%,-,95.60%,"3,672",0,0,"3,672","2,472","6,144","3,011",155
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,42,42,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"11,052","1,341","8,448","20,841","6,771","1,324","7,929","16,024","4,281",17,519,"4,817",76.90%,61.30%,98.70%,93.90%,"2,751",0,32,"2,783","4,140","6,923","1,413",530
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,764",0,"2,805","13,569","4,715",0,"2,347","7,062","6,049",0,458,"6,507",52.00%,43.80%,-,83.70%,"3,594",0,174,"3,768","2,066","5,834","1,926","1,429"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"17,127",0,"4,295","21,422","10,264",0,"3,987","14,251","6,863",0,308,"7,171",66.50%,59.90%,-,92.80%,"4,996",0,0,"4,996","1,154","6,150","1,958","1,081"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"33,408",333,"3,175","36,916","19,653",333,"3,130","23,116","13,755",0,45,"13,800",62.60%,58.80%,100.00%,98.60%,"11,476",0,0,"11,476","6,946","18,422","4,344","1,269"
