Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"9,456",0,"6,214","15,670","5,779",0,"6,099","11,878","3,677",0,115,"3,792",75.80%,61.10%,-,98.10%,"1,886",0,0,"1,886",247,"2,133",234,67
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,599","2,599",0,0,"2,588","2,588",0,0,11,11,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"10,173",0,0,"10,173","8,491",0,0,"8,491","1,682",0,0,"1,682",83.50%,83.50%,-,-,"1,760",0,0,"1,760",331,"2,091",193,19
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"11,379","3,441","6,593","21,413","6,734","3,413","6,348","16,495","4,645",28,245,"4,918",77.00%,59.20%,99.20%,96.30%,"3,165",0,0,"3,165","1,091","4,256",494,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"14,361",0,"8,563","22,924","7,773",0,"7,931","15,704","6,588",0,632,"7,220",68.50%,54.10%,-,92.60%,"3,299",0,0,"3,299",302,"3,601","2,281",833
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"6,356",0,"7,221","13,577","2,943",0,"6,958","9,901","3,413",0,263,"3,676",72.90%,46.30%,-,96.40%,"2,210",0,241,"2,451",677,"3,128",694,467
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"14,807",0,"15,815","30,622","7,182",0,"15,573","22,755","7,625",0,242,"7,867",74.30%,48.50%,-,98.50%,"3,485",0,0,"3,485",484,"3,969","1,723",703
R1K,NHS England London,London North West University Healthcare NHS Trust,"12,235",0,"13,616","25,851","6,021",0,"13,393","19,414","6,214",0,223,"6,437",75.10%,49.20%,-,98.40%,"5,817",0,0,"5,817",282,"6,099",993,374
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,444",0,"5,444",0,"5,382",0,"5,382",0,62,0,62,98.90%,-,98.90%,-,0,3,0,3,223,226,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,605","1,605",0,0,"1,564","1,564",0,0,41,41,97.40%,-,-,97.40%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"24,449",473,"14,374","39,296","16,326",463,"13,479","30,268","8,123",10,895,"9,028",77.00%,66.80%,97.90%,93.80%,"5,783",1,91,"5,875",718,"6,593","2,706","1,870"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,17,17,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"8,527",0,"3,579","12,106","5,683",0,"3,455","9,138","2,844",0,124,"2,968",75.50%,66.60%,-,96.50%,"1,782",0,0,"1,782",532,"2,314",862,443
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"4,633",0,"5,942","10,575","2,664",0,"5,919","8,583","1,969",0,23,"1,992",81.20%,57.50%,-,99.60%,"1,622",0,0,"1,622",64,"1,686",538,18
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,780,780,0,0,780,780,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"12,539",0,0,"12,539","9,317",0,0,"9,317","3,222",0,0,"3,222",74.30%,74.30%,-,-,"1,260",0,0,"1,260",320,"1,580",678,287
RKE,NHS England London,Whittington Health NHS Trust,"8,193",0,0,"8,193","5,981",0,0,"5,981","2,212",0,0,"2,212",73.00%,73.00%,-,-,"1,335",0,0,"1,335",34,"1,369",506,269
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"2,988","2,988",0,0,"2,988","2,988",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"2,121","2,121",0,0,"2,121","2,121",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"4,440",0,0,"4,440","3,419",0,0,"3,419","1,021",0,0,"1,021",77.00%,77.00%,-,-,559,0,0,559,168,727,35,1
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"6,796",0,"5,530","12,326","3,002",0,"5,492","8,494","3,794",0,38,"3,832",68.90%,44.20%,-,99.30%,"1,794",0,15,"1,809",137,"1,946","1,081",523
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,18,18,42,60,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"7,949","7,949",0,0,"7,665","7,665",0,0,284,284,96.40%,-,-,96.40%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,788","1,788",0,0,"1,788","1,788",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,612","1,612",0,0,"1,612","1,612",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"6,469",0,"1,502","7,971","4,891",0,"1,499","6,390","1,578",0,3,"1,581",80.20%,75.60%,-,99.80%,"1,115",0,0,"1,115",0,"1,115",647,269
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"9,960",0,"8,182","18,142","6,140",0,"8,175","14,315","3,820",0,7,"3,827",78.90%,61.60%,-,99.90%,"1,703",0,0,"1,703",339,"2,042","1,073",504
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,295,295,0,0,295,295,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"7,364","7,364",0,0,"7,232","7,232",0,0,132,132,98.20%,-,-,98.20%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,420","2,420",0,0,"2,420","2,420",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,062","7,062",0,0,"7,012","7,012",0,0,50,50,99.30%,-,-,99.30%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,526,526,0,0,525,525,0,0,1,1,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,281,281,0,0,281,281,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,361,361,0,0,361,361,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
