Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,703",0,"7,039","17,742","6,417",0,"6,781","13,198","4,286",0,258,"4,544",74.40%,60.00%,-,96.30%,"2,105",0,0,"2,105",267,"2,372",206,69
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,878","2,878",0,0,"2,857","2,857",0,0,21,21,99.30%,-,-,99.30%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,459",0,0,"11,459","9,751",0,0,"9,751","1,708",0,0,"1,708",85.10%,85.10%,-,-,"1,966",0,0,"1,966",390,"2,356",222,22
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,422","3,904","7,469","23,795","7,984","3,865","7,211","19,060","4,438",39,258,"4,735",80.10%,64.30%,99.00%,96.50%,"3,732",0,0,"3,732","1,236","4,968",580,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"16,215",0,"10,418","26,633","9,769",0,"9,443","19,212","6,446",0,975,"7,421",72.10%,60.20%,-,90.60%,"3,623",0,0,"3,623",321,"3,944","2,166",661
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,582",0,"8,517","16,099","4,286",0,"8,280","12,566","3,296",0,237,"3,533",78.10%,56.50%,-,97.20%,"3,197",0,207,"3,404",699,"4,103",683,310
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"16,974",0,"18,432","35,406","8,746",0,"18,105","26,851","8,228",0,327,"8,555",75.80%,51.50%,-,98.20%,"3,998",0,0,"3,998",538,"4,536","1,544",487
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,819",0,"15,806","29,625","9,223",0,"15,724","24,947","4,596",0,82,"4,678",84.20%,66.70%,-,99.50%,"7,227",0,0,"7,227",199,"7,426",933,408
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"6,316",0,"6,316",0,"6,158",0,"6,158",0,158,0,158,97.50%,-,97.50%,-,0,1,0,1,270,271,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,896","1,896",0,0,"1,841","1,841",0,0,55,55,97.10%,-,-,97.10%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"27,192",571,"16,798","44,561","19,322",559,"16,060","35,941","7,870",12,738,"8,620",80.70%,71.10%,97.90%,95.60%,"6,479",2,141,"6,622",823,"7,445","2,683","1,771"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,7,7,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,057",0,"4,237","13,294","6,305",0,"4,092","10,397","2,752",0,145,"2,897",78.20%,69.60%,-,96.60%,"1,843",0,0,"1,843",578,"2,421",950,476
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,375",0,"6,912","12,287","3,098",0,"6,830","9,928","2,277",0,82,"2,359",80.80%,57.60%,-,98.80%,"1,810",0,0,"1,810",72,"1,882",407,14
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,"1,094","1,094",0,0,"1,094","1,094",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"14,539",0,0,"14,539","11,756",0,0,"11,756","2,783",0,0,"2,783",80.90%,80.90%,-,-,"1,512",0,0,"1,512",350,"1,862",365,66
RKE,NHS England London,Whittington Health NHS Trust,"9,319",0,0,"9,319","6,943",0,0,"6,943","2,376",0,0,"2,376",74.50%,74.50%,-,-,"1,412",0,0,"1,412",42,"1,454",517,237
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,415","3,415",0,0,"3,415","3,415",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"2,444","2,444",0,0,"2,444","2,444",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"5,150",0,0,"5,150","3,944",0,0,"3,944","1,206",0,0,"1,206",76.60%,76.60%,-,-,651,0,0,651,202,853,31,2
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,179",0,"5,672","12,851","3,945",0,"5,588","9,533","3,234",0,84,"3,318",74.20%,55.00%,-,98.50%,"2,191",0,15,"2,206",180,"2,386",616,82
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,9,9,35,44,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"9,044","9,044",0,0,"8,524","8,524",0,0,520,520,94.30%,-,-,94.30%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,999","1,999",0,0,"1,999","1,999",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ10,NHS England Midlands ,Enderby Leisure Centre,0,0,493,493,0,0,492,492,0,0,1,1,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,759","1,759",0,0,"1,759","1,759",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"7,478",0,"1,767","9,245","6,644",0,"1,765","8,409",834,0,2,836,91.00%,88.80%,-,99.90%,"1,265",0,0,"1,265",0,"1,265",251,92
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"11,623",0,"9,434","21,057","7,460",0,"9,427","16,887","4,163",0,7,"4,170",80.20%,64.20%,-,99.90%,"2,022",0,0,"2,022",287,"2,309","1,209",560
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,379,379,0,0,379,379,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"8,730","8,730",0,0,"8,574","8,574",0,0,156,156,98.20%,-,-,98.20%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,739","2,739",0,0,"2,731","2,731",0,0,8,8,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,885","7,885",0,0,"7,835","7,835",0,0,50,50,99.40%,-,-,99.40%,0,0,0,0,0,0,0,0
