Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,683",0,"7,268","17,951","7,035",0,"6,988","14,023","3,648",0,280,"3,928",78.10%,65.90%,-,96.10%,"2,008",0,0,"2,008",253,"2,261",174,84
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,607","2,607",0,0,"2,597","2,597",0,0,10,10,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,437",0,0,"11,437","9,281",0,0,"9,281","2,156",0,0,"2,156",81.10%,81.10%,-,-,"1,787",0,0,"1,787",314,"2,101",167,12
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,478","4,302","8,065","24,845","7,274","4,120","7,795","19,189","5,204",182,270,"5,656",77.20%,58.30%,95.80%,96.70%,"3,850",1,0,"3,851","1,256","5,107",642,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"15,840",0,"10,838","26,678","9,265",0,"10,179","19,444","6,575",0,659,"7,234",72.90%,58.50%,-,93.90%,"3,716",0,0,"3,716",348,"4,064","2,149",556
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,047",0,"8,360","15,407","3,491",0,"8,030","11,521","3,556",0,330,"3,886",74.80%,49.50%,-,96.10%,"2,286",0,230,"2,516",616,"3,132",705,362
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"15,998",0,"9,791","25,789","8,504",0,"9,502","18,006","7,494",0,289,"7,783",69.80%,53.20%,-,97.00%,"4,165",0,0,"4,165",637,"4,802","1,791",628
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,960",0,"16,253","30,213","7,705",0,"15,906","23,611","6,255",0,347,"6,602",78.10%,55.20%,-,97.90%,"6,367",0,0,"6,367",179,"6,546",599,184
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"6,123",0,"6,123",0,"5,934",0,"5,934",0,189,0,189,96.90%,-,96.90%,-,0,2,0,2,252,254,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,907","1,907",0,0,"1,824","1,824",0,0,83,83,95.60%,-,-,95.60%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"26,830",547,"16,193","43,570","18,500",543,"15,468","34,511","8,330",4,725,"9,059",79.20%,69.00%,99.30%,95.50%,"6,782",1,98,"6,881",854,"7,735","2,932","1,638"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,43,43,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,306",0,"4,107","13,413","6,609",0,"3,935","10,544","2,697",0,172,"2,869",78.60%,71.00%,-,95.80%,"2,617",0,0,"2,617",856,"3,473",836,443
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,966",0,"7,265","13,231","3,605",0,"7,160","10,765","2,361",0,105,"2,466",81.40%,60.40%,-,98.60%,"2,373",0,0,"2,373",70,"2,443",359,24
