Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"9,878",0,"6,783","16,661","6,440",0,"6,615","13,055","3,438",0,168,"3,606",78.40%,65.20%,-,97.50%,"1,953",0,0,"1,953",238,"2,191",168,61
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,504","2,504",0,0,"2,499","2,499",0,0,5,5,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"10,343",0,0,"10,343","8,385",0,0,"8,385","1,958",0,0,"1,958",81.10%,81.10%,-,-,"1,707",0,0,"1,707",312,"2,019",259,35
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"11,631","3,950","7,358","22,939","6,528","3,800","7,132","17,460","5,103",150,226,"5,479",76.10%,56.10%,96.20%,96.90%,"3,553",1,0,"3,554","1,013","4,567",645,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"14,823",0,"10,075","24,898","8,851",0,"9,568","18,419","5,972",0,507,"6,479",74.00%,59.70%,-,95.00%,"3,677",0,0,"3,677",288,"3,965","1,958",572
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"6,570",0,"8,123","14,693","3,150",0,"7,856","11,006","3,420",0,267,"3,687",74.90%,47.90%,-,96.70%,"2,111",0,199,"2,310",687,"2,997",510,222
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"14,926",0,"8,876","23,802","7,444",0,"8,691","16,135","7,482",0,185,"7,667",67.80%,49.90%,-,97.90%,"4,036",0,0,"4,036",539,"4,575","1,658",571
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,561",0,"14,231","27,792","6,993",0,"14,042","21,035","6,568",0,189,"6,757",75.70%,51.60%,-,98.70%,"6,251",0,0,"6,251",300,"6,551","1,138",517
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,806",0,"5,806",0,"5,704",0,"5,704",0,102,0,102,98.20%,-,98.20%,-,0,3,0,3,249,252,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,827","1,827",0,0,"1,740","1,740",0,0,87,87,95.20%,-,-,95.20%,0,0,0,0,0,0,0,0
