Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,484",0,"6,511","16,995","6,576",0,"6,358","12,934","3,908",0,153,"4,061",76.10%,62.70%,-,97.70%,"2,164",0,0,"2,164",259,"2,423",186,59
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,911","2,911",0,0,"2,898","2,898",0,0,13,13,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,326",0,0,"11,326","8,927",0,0,"8,927","2,399",0,0,"2,399",78.80%,78.80%,-,-,"1,919",0,0,"1,919",342,"2,261",358,36
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,325","3,546","7,428","23,299","7,022","3,452","7,126","17,600","5,303",94,302,"5,699",75.50%,57.00%,97.30%,95.90%,"3,471",3,0,"3,474","1,181","4,655",564,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"16,461",0,"9,649","26,110","8,607",0,"9,012","17,619","7,854",0,637,"8,491",67.50%,52.30%,-,93.40%,"3,583",0,0,"3,583",382,"3,965","2,648","1,145"
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,010",0,"7,978","14,988","2,879",0,"7,566","10,445","4,131",0,412,"4,543",69.70%,41.10%,-,94.80%,"2,423",0,262,"2,685",695,"3,380",843,667
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"16,319",0,"17,011","33,330","7,359",0,"16,581","23,940","8,960",0,430,"9,390",71.80%,45.10%,-,97.50%,"3,557",0,0,"3,557",542,"4,099","2,090",943
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,710",0,"15,810","29,520","5,817",0,"15,186","21,003","7,893",0,624,"8,517",71.10%,42.40%,-,96.10%,"6,180",0,0,"6,180",299,"6,479","1,578",776
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,617",0,"5,617",0,"5,346",0,"5,346",0,271,0,271,95.20%,-,95.20%,-,0,1,0,1,233,234,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,623","1,623",0,0,"1,583","1,583",0,0,40,40,97.50%,-,-,97.50%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"27,378",394,"15,906","43,678","17,797",391,"14,781","32,969","9,581",3,"1,125","10,709",75.50%,65.00%,99.20%,92.90%,"6,419",2,117,"6,538",938,"7,476","3,247","2,508"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,15,15,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,402",0,"3,932","13,334","6,329",0,"3,813","10,142","3,073",0,119,"3,192",76.10%,67.30%,-,97.00%,"1,995",0,0,"1,995",548,"2,543","1,129",697
