Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,659",0,"6,868","17,527","7,349",0,"6,690","14,039","3,310",0,178,"3,488",80.10%,68.90%,-,97.40%,"2,111",0,0,"2,111",222,"2,333",217,76
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,904","2,904",0,0,"2,881","2,881",0,0,23,23,99.20%,-,-,99.20%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,300",0,0,"11,300","9,410",0,0,"9,410","1,890",0,0,"1,890",83.30%,83.30%,-,-,"1,741",0,0,"1,741",320,"2,061",214,25
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,110","3,562","7,573","23,245","7,367","3,461","7,233","18,061","4,743",101,340,"5,184",77.70%,60.80%,97.20%,95.50%,"3,655",0,0,"3,655","1,161","4,816",579,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"16,080",0,"9,327","25,407","9,314",0,"8,368","17,682","6,766",0,959,"7,725",69.60%,57.90%,-,89.70%,"3,590",0,0,"3,590",287,"3,877","2,237",811
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,192",0,"8,197","15,389","3,097",0,"7,746","10,843","4,095",0,451,"4,546",70.50%,43.10%,-,94.50%,"2,302",0,295,"2,597",597,"3,194",702,362
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"16,440",0,"17,235","33,675","8,971",0,"16,824","25,795","7,469",0,411,"7,880",76.60%,54.60%,-,97.60%,"4,388",0,0,"4,388",568,"4,956","1,531",506
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,768",0,"15,911","29,679","6,857",0,"15,015","21,872","6,911",0,896,"7,807",73.70%,49.80%,-,94.40%,"6,200",0,0,"6,200",294,"6,494","1,421",667
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,563",0,"5,563",0,"5,469",0,"5,469",0,94,0,94,98.30%,-,98.30%,-,0,6,0,6,245,251,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,466","1,466",0,0,"1,420","1,420",0,0,46,46,96.90%,-,-,96.90%,0,0,0,0,0,0,0,0
