Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,047",0,"6,766","16,813","6,506",0,"6,613","13,119","3,541",0,153,"3,694",78.00%,64.80%,-,97.70%,"2,212",0,0,"2,212",198,"2,410",204,67
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,669","2,669",0,0,"2,667","2,667",0,0,2,2,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"10,890",0,0,"10,890","8,943",0,0,"8,943","1,947",0,0,"1,947",82.10%,82.10%,-,-,"1,804",0,0,"1,804",333,"2,137",196,28
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"11,866","3,895","7,569","23,330","6,566","3,698","7,235","17,499","5,300",197,334,"5,831",75.00%,55.30%,94.90%,95.60%,"3,523",2,0,"3,525","1,126","4,651",588,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"15,592",0,"10,190","25,782","8,426",0,"9,487","17,913","7,166",0,703,"7,869",69.50%,54.00%,-,93.10%,"3,656",0,0,"3,656",301,"3,957","2,268",664
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,000",0,"8,430","15,430","2,743",0,"8,088","10,831","4,257",0,342,"4,599",70.20%,39.20%,-,95.90%,"2,239",0,233,"2,472",658,"3,130",636,320
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"15,359",0,"9,033","24,392","8,026",0,"8,743","16,769","7,333",0,290,"7,623",68.70%,52.30%,-,96.80%,"3,935",0,0,"3,935",542,"4,477","1,787",598
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,596",0,"15,146","28,742","7,078",0,"14,620","21,698","6,518",0,526,"7,044",75.50%,52.10%,-,96.50%,"6,273",0,0,"6,273",285,"6,558","1,052",419
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,657",0,"5,657",0,"5,498",0,"5,498",0,159,0,159,97.20%,-,97.20%,-,0,2,0,2,220,222,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,"1,849","1,849",0,0,"1,761","1,761",0,0,88,88,95.20%,-,-,95.20%,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,"26,147",569,"15,099","41,815","17,476",569,"14,485","32,530","8,671",0,614,"9,285",77.80%,66.80%,100.00%,95.90%,"6,552",2,96,"6,650",695,"7,345","2,993","1,975"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,23,23,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"8,824",0,"4,055","12,879","6,169",0,"3,883","10,052","2,655",0,172,"2,827",78.00%,69.90%,-,95.80%,"2,535",0,0,"2,535",694,"3,229",876,500
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,135",0,"7,323","12,458","2,682",0,"7,224","9,906","2,453",0,99,"2,552",79.50%,52.20%,-,98.60%,"1,666",0,0,"1,666",62,"1,728",497,37
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,"1,044","1,044",0,0,"1,044","1,044",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"13,436",0,0,"13,436","9,319",0,0,"9,319","4,117",0,0,"4,117",69.40%,69.40%,-,-,"1,437",0,0,"1,437",273,"1,710",638,194
Y02147,NHS England London,Urgent Care Centre (Qms),0,0,"8,137","8,137",0,0,"8,014","8,014",0,0,123,123,98.50%,-,-,98.50%,0,0,0,0,0,0,0,0
RKE,NHS England London,Whittington Health NHS Trust,"8,812",0,0,"8,812","6,230",0,0,"6,230","2,582",0,0,"2,582",70.70%,70.70%,-,-,"1,365",0,0,"1,365",20,"1,385",522,261
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,412","3,412",0,0,"3,412","3,412",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"1,370","1,370",0,0,"1,370","1,370",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"4,565",0,0,"4,565","3,954",0,0,"3,954",611,0,0,611,86.60%,86.60%,-,-,557,0,0,557,151,708,22,2
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"6,268",0,"4,994","11,262","2,830",0,"4,704","7,534","3,438",0,290,"3,728",66.90%,45.10%,-,94.20%,"2,164",0,39,"2,203",162,"2,365","1,121",254
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,8,8,73,81,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"8,945","8,945",0,0,"8,717","8,717",0,0,228,228,97.50%,-,-,97.50%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,727","1,727",0,0,"1,727","1,727",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,253","1,253",0,0,"1,253","1,253",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"6,824",0,"1,627","8,451","4,851",0,"1,610","6,461","1,973",0,17,"1,990",76.50%,71.10%,-,99.00%,"1,038",0,0,"1,038",0,"1,038",755,499
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,206",0,"8,117","18,323","6,670",0,"8,042","14,712","3,536",0,75,"3,611",80.30%,65.40%,-,99.10%,"1,932",0,0,"1,932",243,"2,175","1,197",438
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,363,363,0,0,363,363,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"8,314","8,314",0,0,"8,127","8,127",0,0,187,187,97.80%,-,-,97.80%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"4,058","4,058",0,0,"4,057","4,057",0,0,1,1,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"8,971","8,971",0,0,"8,497","8,497",0,0,474,474,94.70%,-,-,94.70%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,431,431,0,0,431,431,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,304,304,0,0,304,304,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,388,388,0,0,388,388,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
A5D4Q,NHS England Midlands ,Nems Cbs (Utc),0,0,"4,240","4,240",0,0,"3,249","3,249",0,0,991,991,76.60%,-,-,76.60%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,254",856,"1,764","12,874","6,033",814,"1,683","8,530","4,221",42,81,"4,344",66.30%,58.80%,95.10%,95.40%,"2,086",0,0,"2,086",442,"2,528","1,231",628
NR3,NHS England Midlands ,Nottingham Citycare Partnership,0,0,"5,246","5,246",0,0,"4,965","4,965",0,0,281,281,94.60%,-,-,94.60%,0,0,0,0,0,0,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"12,732","2,142",0,"14,874","5,802","2,000",0,"7,802","6,930",142,0,"7,072",52.50%,45.60%,93.40%,-,"3,920",0,815,"4,735","4,519","9,254",889,634
NNJ14,NHS England Midlands ,Oadby,0,0,"2,772","2,772",0,0,"2,771","2,771",0,0,1,1,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,363,363,0,0,363,363,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,439","1,106","8,078","20,623","6,871",950,"7,917","15,738","4,568",156,161,"4,885",76.30%,60.10%,85.90%,98.00%,"2,690",0,0,"2,690",461,"3,151","1,193",299
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,127",0,"5,372","16,499","6,200",0,"5,016","11,216","4,927",0,356,"5,283",68.00%,55.70%,-,93.40%,"3,758",0,0,"3,758",294,"4,052","1,036",204
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,451","3,451",0,0,"3,439","3,439",0,0,12,12,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,488,488,0,0,488,488,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,2,2,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"6,084","6,084",0,0,"6,084","6,084",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,327",0,449,"8,776","6,164",0,449,"6,613","2,163",0,0,"2,163",75.40%,74.00%,-,100.00%,"2,230",0,0,"2,230",730,"2,960",489,57
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"3,150","3,150",0,0,"3,150","3,150",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"9,774",0,"4,457","14,231","6,746",0,"4,411","11,157","3,028",0,46,"3,074",78.40%,69.00%,-,99.00%,"3,484",0,0,"3,484","2,664","6,148","2,550",135
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,35,35,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"10,855",0,"6,152","17,007","7,708",0,"6,043","13,751","3,147",0,109,"3,256",80.90%,71.00%,-,98.20%,"4,528",0,90,"4,618",659,"5,277","1,042",486
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,459",0,"2,507","12,966","4,774",0,"2,195","6,969","5,685",0,312,"5,997",53.70%,45.60%,-,87.60%,"3,138",0,162,"3,300","2,145","5,445","1,884","1,492"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"16,570",0,"3,896","20,466","9,683",0,"3,629","13,312","6,887",0,267,"7,154",65.00%,58.40%,-,93.10%,"4,934",0,0,"4,934","1,035","5,969","1,931",946
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"34,990",373,"3,459","38,822","21,293",373,"3,391","25,057","13,697",0,68,"13,765",64.50%,60.90%,100.00%,98.00%,"10,591",0,0,"10,591","7,317","17,908","4,431","1,692"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,527","1,648","5,585","19,760","7,453","1,567","5,539","14,559","5,074",81,46,"5,201",73.70%,59.50%,95.10%,99.20%,"1,164",47,33,"1,244",307,"1,551",71,14
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"22,699",0,"9,055","31,754","13,563",0,"9,055","22,618","9,136",0,0,"9,136",71.20%,59.80%,-,100.00%,"3,870",0,0,"3,870","1,981","5,851","1,475",557
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"21,979","2,150",0,"24,129","13,046","1,959",0,"15,005","8,933",191,0,"9,124",62.20%,59.40%,91.10%,-,"6,661",5,0,"6,666","4,063","10,729","1,955",619
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,523",507,"8,663","24,693","7,693",507,"8,493","16,693","7,830",0,170,"8,000",67.60%,49.60%,100.00%,98.00%,"4,652",0,0,"4,652","1,627","6,279","2,065","1,003"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,429",0,"4,245","13,674","6,062",0,"4,198","10,260","3,367",0,47,"3,414",75.00%,64.30%,-,98.90%,"3,847",0,0,"3,847",866,"4,713","1,228",198
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,774",0,"5,944","19,718","6,571",0,"5,858","12,429","7,203",0,86,"7,289",63.00%,47.70%,-,98.60%,"2,733",0,0,"2,733",879,"3,612","2,228","1,160"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,079","1,130",155,"7,364","3,543","1,130",155,"4,828","2,536",0,0,"2,536",65.60%,58.30%,100.00%,100.00%,"1,448",0,0,"1,448",142,"1,590",717,274
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,447",279,0,"6,726","4,111",279,0,"4,390","2,336",0,0,"2,336",65.30%,63.80%,100.00%,-,"1,523",0,0,"1,523",571,"2,094",610,154
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,065",0,0,"9,065","6,739",0,0,"6,739","2,326",0,0,"2,326",74.30%,74.30%,-,-,"3,069",0,0,"3,069",560,"3,629",200,1
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,085","1,109","3,316","13,510","6,892","1,109","3,316","11,317","2,193",0,0,"2,193",83.80%,75.90%,100.00%,100.00%,"2,644",0,6,"2,650","1,307","3,957",746,76
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,484","3,484",0,0,"3,169","3,169",0,0,315,315,91.00%,-,-,91.00%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,462","1,462",0,0,"1,436","1,436",0,0,26,26,98.20%,-,-,98.20%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,024",0,0,"16,024","13,710",0,0,"13,710","2,314",0,0,"2,314",85.60%,85.60%,-,-,"2,855",0,0,"2,855",181,"3,036",883,9
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"12,654",0,"11,177","23,831","7,751",0,"11,177","18,928","4,903",0,0,"4,903",79.40%,61.30%,-,100.00%,"4,250",0,0,"4,250",719,"4,969","1,831",42
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"13,811",0,"4,142","17,953","8,400",0,"4,136","12,536","5,411",0,6,"5,417",69.80%,60.80%,-,99.90%,"3,841",0,383,"4,224",888,"5,112","1,356",162
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,668","2,668",0,0,"2,474","2,474",0,0,194,194,92.70%,-,-,92.70%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"5,675",0,"4,065","9,740","3,496",0,"4,041","7,537","2,179",0,24,"2,203",77.40%,61.60%,-,99.40%,"1,751",0,0,"1,751",61,"1,812",645,2
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,644","1,644",0,0,"1,607","1,607",0,0,37,37,97.70%,-,-,97.70%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,578",0,"1,060","6,638","4,083",0,"1,060","5,143","1,495",0,0,"1,495",77.50%,73.20%,-,100.00%,"1,138",0,0,"1,138",307,"1,445",58,0
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"9,658",0,"4,482","14,140","4,064",0,"4,202","8,266","5,594",0,280,"5,874",58.50%,42.10%,-,93.80%,"3,896",0,0,"3,896","2,218","6,114","1,572",600
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,158","1,158",0,0,"1,149","1,149",0,0,9,9,99.20%,-,-,99.20%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"17,784",743,"11,435","29,962","10,842",743,"11,282","22,867","6,942",0,153,"7,095",76.30%,61.00%,100.00%,98.70%,"3,612",0,0,"3,612","1,210","4,822","1,987",552
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,317","2,317",0,0,"2,308","2,308",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
